( X, Y, Tip, Ödül Puaný ) 
( 4, 4, Yol, 0 )
( 4, 5, Yol, 0 )
( 4, 6, Yol, 0 )
( 4, 7, Yol, 0 )
( 4, 8, Engel, -5 )
( 4, 9, Yol, 0 )
( 4, 10, Engel, -5 )
( 4, 11, Engel, -5 )
( 4, 12, Engel, -5 )
( 4, 13, Yol, 0 )
( 4, 14, Yol, 0 )
( 4, 15, Yol, 0 )
( 4, 16, Yol, 0 )
( 4, 17, Yol, 0 )
( 4, 18, Engel, -5 )
( 4, 19, Engel, -5 )
( 4, 20, Yol, 0 )
( 4, 21, Yol, 0 )
( 4, 22, Yol, 0 )
( 4, 23, Yol, 0 )
( 4, 24, Yol, 0 )
( 4, 25, Yol, 0 )
( 4, 26, Yol, 0 )
( 4, 27, Engel, -5 )
( 4, 28, Yol, 0 )
( 4, 29, Yol, 0 )
( 4, 30, Yol, 0 )
( 4, 31, Yol, 0 )
( 4, 32, Engel, -5 )
( 4, 33, Yol, 0 )
( 4, 34, Yol, 0 )
( 4, 35, Engel, -5 )
( 4, 36, Yol, 0 )
( 4, 37, Yol, 0 )
( 4, 38, Engel, -5 )
( 4, 39, Yol, 0 )
( 4, 40, Yol, 0 )
( 4, 41, Engel, -5 )
( 4, 42, Yol, 0 )
( 4, 43, Yol, 0 )
( 4, 44, Yol, 0 )
( 4, 45, Engel, -5 )
( 4, 46, Yol, 0 )
( 4, 47, Engel, -5 )
( 4, 48, Yol, 0 )
( 4, 49, Yol, 0 )
( 5, 0, Yol, 0 )
( 5, 1, Engel, -5 )
( 5, 2, Engel, -5 )
( 5, 3, Yol, 0 )
( 5, 4, Engel, -5 )
( 5, 5, Engel, -5 )
( 5, 6, Yol, 0 )
( 5, 7, Yol, 0 )
( 5, 8, Engel, -5 )
( 5, 9, Yol, 0 )
( 5, 10, Yol, 0 )
( 5, 11, Yol, 0 )
( 5, 12, Yol, 0 )
( 5, 13, Yol, 0 )
( 5, 14, Yol, 0 )
( 5, 15, Engel, -5 )
( 5, 16, Yol, 0 )
( 5, 17, Engel, -5 )
( 5, 18, Yol, 0 )
( 5, 19, Yol, 0 )
( 5, 20, Yol, 0 )
( 5, 21, Yol, 0 )
( 5, 22, Engel, -5 )
( 5, 23, Engel, -5 )
( 5, 24, Engel, -5 )
( 5, 25, Engel, -5 )
( 5, 26, Engel, -5 )
( 5, 27, Yol, 0 )
( 5, 28, Yol, 0 )
( 5, 29, Yol, 0 )
( 5, 30, Yol, 0 )
( 5, 31, Engel, -5 )
( 5, 32, Yol, 0 )
( 5, 33, Yol, 0 )
( 5, 34, Yol, 0 )
( 5, 35, Yol, 0 )
( 5, 36, Yol, 0 )
( 5, 37, Yol, 0 )
( 5, 38, Yol, 0 )
( 5, 39, Yol, 0 )
( 5, 40, Engel, -5 )
( 5, 41, Yol, 0 )
( 5, 42, Yol, 0 )
( 5, 43, Engel, -5 )
( 5, 44, Yol, 0 )
( 5, 45, Engel, -5 )
( 5, 46, Yol, 0 )
( 5, 47, Yol, 0 )
( 5, 48, Yol, 0 )
( 5, 49, Yol, 0 )
( 6, 0, Yol, 0 )
( 6, 1, Yol, 0 )
( 6, 2, Yol, 0 )
( 6, 3, Yol, 0 )
( 6, 4, Engel, -5 )
( 6, 5, Yol, 0 )
( 6, 6, Yol, 0 )
( 6, 7, Engel, -5 )
( 6, 8, Yol, 0 )
( 6, 9, Yol, 0 )
( 6, 10, Yol, 0 )
( 6, 11, Yol, 0 )
( 6, 12, Yol, 0 )
( 6, 13, Yol, 0 )
( 6, 14, Engel, -5 )
( 6, 15, Yol, 0 )
( 6, 16, Yol, 0 )
( 6, 17, Yol, 0 )
( 6, 18, Yol, 0 )
( 6, 19, Yol, 0 )
( 6, 20, Yol, 0 )
( 6, 21, Yol, 0 )
( 6, 22, Yol, 0 )
( 6, 23, Engel, -5 )
( 6, 24, Yol, 0 )
( 6, 25, Yol, 0 )
( 6, 26, Yol, 0 )
( 6, 27, Yol, 0 )
( 6, 28, Yol, 0 )
( 6, 29, Engel, -5 )
( 6, 30, Yol, 0 )
( 6, 31, Yol, 0 )
( 6, 32, Yol, 0 )
( 6, 33, Engel, -5 )
( 6, 34, Yol, 0 )
( 6, 35, Yol, 0 )
( 6, 36, Engel, -5 )
( 6, 37, Yol, 0 )
( 6, 38, Yol, 0 )
( 6, 39, Yol, 0 )
( 6, 40, Yol, 0 )
( 6, 41, Yol, 0 )
( 6, 42, Yol, 0 )
( 6, 43, Yol, 0 )
( 6, 44, Yol, 0 )
( 6, 45, Yol, 0 )
( 6, 46, Yol, 0 )
( 6, 47, Yol, 0 )
( 6, 48, Yol, 0 )
( 6, 49, Yol, 0 )
( 7, 0, Yol, 0 )
( 7, 1, Yol, 0 )
( 7, 2, Yol, 0 )
( 7, 3, Yol, 0 )
( 7, 4, Yol, 0 )
( 7, 5, Engel, -5 )
( 7, 6, Yol, 0 )
( 7, 7, Engel, -5 )
( 7, 8, Yol, 0 )
( 7, 9, Yol, 0 )
( 7, 10, Yol, 0 )
( 7, 11, Engel, -5 )
( 7, 12, Yol, 0 )
( 7, 13, Yol, 0 )
( 7, 14, Yol, 0 )
( 7, 15, Yol, 0 )
( 7, 16, Engel, -5 )
( 7, 17, Yol, 0 )
( 7, 18, Yol, 0 )
( 7, 19, Engel, -5 )
( 7, 20, Yol, 0 )
( 7, 21, Yol, 0 )
( 7, 22, Yol, 0 )
( 7, 23, Yol, 0 )
( 7, 24, Yol, 0 )
( 7, 25, Yol, 0 )
( 7, 26, Engel, -5 )
( 7, 27, Yol, 0 )
( 7, 28, Engel, -5 )
( 7, 29, Yol, 0 )
( 7, 30, Yol, 0 )
( 7, 31, Yol, 0 )
( 7, 32, Engel, -5 )
( 7, 33, Yol, 0 )
( 7, 34, Yol, 0 )
( 7, 35, Yol, 0 )
( 7, 36, Yol, 0 )
( 7, 37, Engel, -5 )
( 7, 38, Yol, 0 )
( 7, 39, Yol, 0 )
( 7, 40, Engel, -5 )
( 7, 41, Yol, 0 )
( 7, 42, Engel, -5 )
( 7, 43, Engel, -5 )
( 7, 44, Engel, -5 )
( 7, 45, Yol, 0 )
( 7, 46, Yol, 0 )
( 7, 47, Engel, -5 )
( 7, 48, Engel, -5 )
( 7, 49, Yol, 0 )
( 8, 0, Yol, 0 )
( 8, 1, Yol, 0 )
( 8, 2, Yol, 0 )
( 8, 3, Yol, 0 )
( 8, 4, Yol, 0 )
( 8, 5, Yol, 0 )
( 8, 6, Yol, 0 )
( 8, 7, Engel, -5 )
( 8, 8, Yol, 0 )
( 8, 9, Yol, 0 )
( 8, 10, Yol, 0 )
( 8, 11, Engel, -5 )
( 8, 12, Yol, 0 )
( 8, 13, Yol, 0 )
( 8, 14, Engel, -5 )
( 8, 15, Engel, -5 )
( 8, 16, Yol, 0 )
( 8, 17, Yol, 0 )
( 8, 18, Yol, 0 )
( 8, 19, Yol, 0 )
( 8, 20, Yol, 0 )
( 8, 21, Engel, -5 )
( 8, 22, Yol, 0 )
( 8, 23, Yol, 0 )
( 8, 24, Yol, 0 )
( 8, 25, Engel, -5 )
( 8, 26, Engel, -5 )
( 8, 27, Engel, -5 )
( 8, 28, Yol, 0 )
( 8, 29, Yol, 0 )
( 8, 30, Yol, 0 )
( 8, 31, Engel, -5 )
( 8, 32, Yol, 0 )
( 8, 33, Yol, 0 )
( 8, 34, Yol, 0 )
( 8, 35, Engel, -5 )
( 8, 36, Engel, -5 )
( 8, 37, Yol, 0 )
( 8, 38, Yol, 0 )
( 8, 39, Yol, 0 )
( 8, 40, Engel, -5 )
( 8, 41, Engel, -5 )
( 8, 42, Yol, 0 )
( 8, 43, Yol, 0 )
( 8, 44, Yol, 0 )
( 8, 45, Yol, 0 )
( 8, 46, Engel, -5 )
( 8, 47, Yol, 0 )
( 8, 48, Engel, -5 )
( 8, 49, Yol, 0 )
( 9, 0, Yol, 0 )
( 9, 1, Engel, -5 )
( 9, 2, Yol, 0 )
( 9, 3, Yol, 0 )
( 9, 4, Engel, -5 )
( 9, 5, Yol, 0 )
( 9, 6, Engel, -5 )
( 9, 7, Yol, 0 )
( 9, 8, Yol, 0 )
( 9, 9, Engel, -5 )
( 9, 10, Yol, 0 )
( 9, 11, Engel, -5 )
( 9, 12, Yol, 0 )
( 9, 13, Engel, -5 )
( 9, 14, Yol, 0 )
( 9, 15, Engel, -5 )
( 9, 16, Yol, 0 )
( 9, 17, Engel, -5 )
( 9, 18, Yol, 0 )
( 9, 19, Yol, 0 )
( 9, 20, Yol, 0 )
( 9, 21, Yol, 0 )
( 9, 22, Yol, 0 )
( 9, 23, Yol, 0 )
( 9, 24, Engel, -5 )
( 9, 25, Yol, 0 )
( 9, 26, Yol, 0 )
( 9, 27, Engel, -5 )
( 9, 28, Yol, 0 )
( 9, 29, Yol, 0 )
( 9, 30, Yol, 0 )
( 9, 31, Yol, 0 )
( 9, 32, Yol, 0 )
( 9, 33, Yol, 0 )
( 9, 34, Yol, 0 )
( 9, 35, Yol, 0 )
( 9, 36, Yol, 0 )
( 9, 37, Yol, 0 )
( 9, 38, Engel, -5 )
( 9, 39, Yol, 0 )
( 9, 40, Engel, -5 )
( 9, 41, Yol, 0 )
( 9, 42, Yol, 0 )
( 9, 43, Yol, 0 )
( 9, 44, Yol, 0 )
( 9, 45, Yol, 0 )
( 9, 46, Yol, 0 )
( 9, 47, Yol, 0 )
( 9, 48, Yol, 0 )
( 9, 49, Yol, 0 )
( 10, 0, Engel, -5 )
( 10, 1, Yol, 0 )
( 10, 2, Engel, -5 )
( 10, 3, Yol, 0 )
( 10, 4, Yol, 0 )
( 10, 5, Engel, -5 )
( 10, 6, Yol, 0 )
( 10, 7, Yol, 0 )
( 10, 8, Yol, 0 )
( 10, 9, Engel, -5 )
( 10, 10, Yol, 0 )
( 10, 11, Yol, 0 )
( 10, 12, Engel, -5 )
( 10, 13, Yol, 0 )
( 10, 14, Engel, -5 )
( 10, 15, Engel, -5 )
( 10, 16, Yol, 0 )
( 10, 17, Yol, 0 )
( 10, 18, Yol, 0 )
( 10, 19, Yol, 0 )
( 10, 20, Yol, 0 )
( 10, 21, Engel, -5 )
( 10, 22, Yol, 0 )
( 10, 23, Yol, 0 )
( 10, 24, Engel, -5 )
( 10, 25, Yol, 0 )
( 10, 26, Yol, 0 )
( 10, 27, Yol, 0 )
( 10, 28, Yol, 0 )
( 10, 29, Yol, 0 )
( 10, 30, Yol, 0 )
( 10, 31, Yol, 0 )
( 10, 32, Engel, -5 )
( 10, 33, Engel, -5 )
( 10, 34, Engel, -5 )
( 10, 35, Yol, 0 )
( 10, 36, Yol, 0 )
( 10, 37, Yol, 0 )
( 10, 38, Yol, 0 )
( 10, 39, Yol, 0 )
( 10, 40, Yol, 0 )
( 10, 41, Engel, -5 )
( 10, 42, Yol, 0 )
( 10, 43, Engel, -5 )
( 10, 44, Engel, -5 )
( 10, 45, Yol, 0 )
( 10, 46, Yol, 0 )
( 10, 47, Yol, 0 )
( 10, 48, Yol, 0 )
( 10, 49, Yol, 0 )
( 11, 0, Engel, -5 )
( 11, 1, Yol, 0 )
( 11, 2, Yol, 0 )
( 11, 3, Yol, 0 )
( 11, 4, Yol, 0 )
( 11, 5, Yol, 0 )
( 11, 6, Yol, 0 )
( 11, 7, Yol, 0 )
( 11, 8, Yol, 0 )
( 11, 9, Yol, 0 )
( 11, 10, Yol, 0 )
( 11, 11, Engel, -5 )
( 11, 12, Yol, 0 )
( 11, 13, Yol, 0 )
( 11, 14, Yol, 0 )
( 11, 15, Yol, 0 )
( 11, 16, Engel, -5 )
( 11, 17, Yol, 0 )
( 11, 18, Yol, 0 )
( 11, 19, Engel, -5 )
( 11, 20, Yol, 0 )
( 11, 21, Engel, -5 )
( 11, 22, Yol, 0 )
( 11, 23, Yol, 0 )
( 11, 24, Yol, 0 )
( 11, 25, Yol, 0 )
( 11, 26, Yol, 0 )
( 11, 27, Yol, 0 )
( 11, 28, Yol, 0 )
( 11, 29, Yol, 0 )
( 11, 30, Yol, 0 )
( 11, 31, Yol, 0 )
( 11, 32, Engel, -5 )
( 11, 33, Engel, -5 )
( 11, 34, Yol, 0 )
( 11, 35, Yol, 0 )
( 11, 36, Yol, 0 )
( 11, 37, Yol, 0 )
( 11, 38, Engel, -5 )
( 11, 39, Yol, 0 )
( 11, 40, Yol, 0 )
( 11, 41, Engel, -5 )
( 11, 42, Engel, -5 )
( 11, 43, Engel, -5 )
( 11, 44, Yol, 0 )
( 11, 45, Yol, 0 )
( 11, 46, Yol, 0 )
( 11, 47, Yol, 0 )
( 11, 48, Yol, 0 )
( 11, 49, Yol, 0 )
( 12, 0, Yol, 0 )
( 12, 1, Engel, -5 )
( 12, 2, Yol, 0 )
( 12, 3, Yol, 0 )
( 12, 4, Yol, 0 )
( 12, 5, Yol, 0 )
( 12, 6, Engel, -5 )
( 12, 7, Yol, 0 )
( 12, 8, Yol, 0 )
( 12, 9, Yol, 0 )
( 12, 10, Yol, 0 )
( 12, 11, Yol, 0 )
( 12, 12, Yol, 0 )
( 12, 13, Yol, 0 )
( 12, 14, Yol, 0 )
( 12, 15, Yol, 0 )
( 12, 16, Yol, 0 )
( 12, 17, Yol, 0 )
( 12, 18, Yol, 0 )
( 12, 19, Yol, 0 )
( 12, 20, Yol, 0 )
( 12, 21, Engel, -5 )
( 12, 22, Yol, 0 )
( 12, 23, Yol, 0 )
( 12, 24, Engel, -5 )
( 12, 25, Yol, 0 )
( 12, 26, Engel, -5 )
( 12, 27, Yol, 0 )
( 12, 28, Engel, -5 )
( 12, 29, Engel, -5 )
( 12, 30, Yol, 0 )
( 12, 31, Yol, 0 )
( 12, 32, Yol, 0 )
( 12, 33, Yol, 0 )
( 12, 34, Yol, 0 )
( 12, 35, Yol, 0 )
( 12, 36, Engel, -5 )
( 12, 37, Engel, -5 )
( 12, 38, Yol, 0 )
( 12, 39, Yol, 0 )
( 12, 40, Engel, -5 )
( 12, 41, Yol, 0 )
( 12, 42, Yol, 0 )
( 12, 43, Yol, 0 )
( 12, 44, Yol, 0 )
( 12, 45, Yol, 0 )
( 12, 46, Engel, -5 )
( 12, 47, Engel, -5 )
( 12, 48, Engel, -5 )
( 12, 49, Yol, 0 )
( 13, 0, Engel, -5 )
( 13, 1, Yol, 0 )
( 13, 2, Yol, 0 )
( 13, 3, Yol, 0 )
( 13, 4, Yol, 0 )
( 13, 5, Engel, -5 )
( 13, 6, Yol, 0 )
( 13, 7, Engel, -5 )
( 13, 8, Yol, 0 )
( 13, 9, Yol, 0 )
( 13, 10, Yol, 0 )
( 13, 11, Yol, 0 )
( 13, 12, Engel, -5 )
( 13, 13, Yol, 0 )
( 13, 14, Yol, 0 )
( 13, 15, Yol, 0 )
( 13, 16, Yol, 0 )
( 13, 17, Yol, 0 )
( 13, 18, Yol, 0 )
( 13, 19, Yol, 0 )
( 13, 20, Yol, 0 )
( 13, 21, Yol, 0 )
( 13, 22, Yol, 0 )
( 13, 23, Engel, -5 )
( 13, 24, Engel, -5 )
( 13, 25, Yol, 0 )
( 13, 26, Yol, 0 )
( 13, 27, Yol, 0 )
( 13, 28, Engel, -5 )
( 13, 29, Yol, 0 )
( 13, 30, Yol, 0 )
( 13, 31, Engel, -5 )
( 13, 32, Engel, -5 )
( 13, 33, Yol, 0 )
( 13, 34, Yol, 0 )
( 13, 35, Yol, 0 )
( 13, 36, Yol, 0 )
( 13, 37, Yol, 0 )
( 13, 38, Yol, 0 )
( 13, 39, Yol, 0 )
( 13, 40, Engel, -5 )
( 13, 41, Yol, 0 )
( 13, 42, Engel, -5 )
( 13, 43, Yol, 0 )
( 13, 44, Yol, 0 )
( 13, 45, Engel, -5 )
( 13, 46, Engel, -5 )
( 13, 47, Yol, 0 )
( 13, 48, Yol, 0 )
( 13, 49, Yol, 0 )
( 14, 0, Engel, -5 )
( 14, 1, Yol, 0 )
( 14, 2, Yol, 0 )
( 14, 3, Yol, 0 )
( 14, 4, Yol, 0 )
( 14, 5, Yol, 0 )
( 14, 6, Engel, -5 )
( 14, 7, Engel, -5 )
( 14, 8, Yol, 0 )
( 14, 9, Yol, 0 )
( 14, 10, Yol, 0 )
( 14, 11, Yol, 0 )
( 14, 12, Yol, 0 )
( 14, 13, Yol, 0 )
( 14, 14, Engel, -5 )
( 14, 15, Engel, -5 )
( 14, 16, Yol, 0 )
( 14, 17, Yol, 0 )
( 14, 18, Yol, 0 )
( 14, 19, Yol, 0 )
( 14, 20, Yol, 0 )
( 14, 21, Engel, -5 )
( 14, 22, Yol, 0 )
( 14, 23, Yol, 0 )
( 14, 24, Yol, 0 )
( 14, 25, Yol, 0 )
( 14, 26, Yol, 0 )
( 14, 27, Engel, -5 )
( 14, 28, Yol, 0 )
( 14, 29, Engel, -5 )
( 14, 30, Engel, -5 )
( 14, 31, Yol, 0 )
( 14, 32, Yol, 0 )
( 14, 33, Engel, -5 )
( 14, 34, Yol, 0 )
( 14, 35, Yol, 0 )
( 14, 36, Yol, 0 )
( 14, 37, Yol, 0 )
( 14, 38, Yol, 0 )
( 14, 39, Engel, -5 )
( 14, 40, Engel, -5 )
( 14, 41, Yol, 0 )
( 14, 42, Yol, 0 )
( 14, 43, Engel, -5 )
( 14, 44, Engel, -5 )
( 14, 45, Engel, -5 )
( 14, 46, Engel, -5 )
( 14, 47, Engel, -5 )
( 14, 48, Engel, -5 )
( 14, 49, Yol, 0 )
( 15, 0, Engel, -5 )
( 15, 1, Yol, 0 )
( 15, 2, Engel, -5 )
( 15, 3, Yol, 0 )
( 15, 4, Yol, 0 )
( 15, 5, Yol, 0 )
( 15, 6, Yol, 0 )
( 15, 7, Engel, -5 )
( 15, 8, Yol, 0 )
( 15, 9, Yol, 0 )
( 15, 10, Engel, -5 )
( 15, 11, Engel, -5 )
( 15, 12, Yol, 0 )
( 15, 13, Yol, 0 )
( 15, 14, Yol, 0 )
( 15, 15, Yol, 0 )
( 15, 16, Engel, -5 )
( 15, 17, Yol, 0 )
( 15, 18, Engel, -5 )
( 15, 19, Engel, -5 )
( 15, 20, Yol, 0 )
( 15, 21, Yol, 0 )
( 15, 22, Engel, -5 )
( 15, 23, Yol, 0 )
( 15, 24, Yol, 0 )
( 15, 25, Engel, -5 )
( 15, 26, Yol, 0 )
( 15, 27, Yol, 0 )
( 15, 28, Yol, 0 )
( 15, 29, Yol, 0 )
( 15, 30, Yol, 0 )
( 15, 31, Engel, -5 )
( 15, 32, Yol, 0 )
( 15, 33, Engel, -5 )
( 15, 34, Yol, 0 )
( 15, 35, Yol, 0 )
( 15, 36, Yol, 0 )
( 15, 37, Engel, -5 )
( 15, 38, Engel, -5 )
( 15, 39, Yol, 0 )
( 15, 40, Engel, -5 )
( 15, 41, Yol, 0 )
( 15, 42, Engel, -5 )
( 15, 43, Yol, 0 )
( 15, 44, Yol, 0 )
( 15, 45, Engel, -5 )
( 15, 46, Yol, 0 )
( 15, 47, Yol, 0 )
( 15, 48, Yol, 0 )
( 15, 49, Engel, -5 )
( 16, 0, Engel, -5 )
( 16, 1, Yol, 0 )
( 16, 2, Yol, 0 )
( 16, 3, Yol, 0 )
( 16, 4, Yol, 0 )
( 16, 5, Yol, 0 )
( 16, 6, Engel, -5 )
( 16, 7, Engel, -5 )
( 16, 8, Yol, 0 )
( 16, 9, Engel, -5 )
( 16, 10, Engel, -5 )
( 16, 11, Yol, 0 )
( 16, 12, Yol, 0 )
( 16, 13, Yol, 0 )
( 16, 14, Engel, -5 )
( 16, 15, Yol, 0 )
( 16, 16, Engel, -5 )
( 16, 17, Yol, 0 )
( 16, 18, Engel, -5 )
( 16, 19, Yol, 0 )
( 16, 20, Engel, -5 )
( 16, 21, Yol, 0 )
( 16, 22, Engel, -5 )
( 16, 23, Yol, 0 )
( 16, 24, Yol, 0 )
( 16, 25, Yol, 0 )
( 16, 26, Yol, 0 )
( 16, 27, Yol, 0 )
( 16, 28, Engel, -5 )
( 16, 29, Yol, 0 )
( 16, 30, Yol, 0 )
( 16, 31, Engel, -5 )
( 16, 32, Yol, 0 )
( 16, 33, Yol, 0 )
( 16, 34, Yol, 0 )
( 16, 35, Yol, 0 )
( 16, 36, Yol, 0 )
( 16, 37, Yol, 0 )
( 16, 38, Engel, -5 )
( 16, 39, Yol, 0 )
( 16, 40, Yol, 0 )
( 16, 41, Yol, 0 )
( 16, 42, Engel, -5 )
( 16, 43, Yol, 0 )
( 16, 44, Engel, -5 )
( 16, 45, Yol, 0 )
( 16, 46, Yol, 0 )
( 16, 47, Engel, -5 )
( 16, 48, Engel, -5 )
( 16, 49, Yol, 0 )
( 17, 0, Yol, 0 )
( 17, 1, Yol, 0 )
( 17, 2, Yol, 0 )
( 17, 3, Yol, 0 )
( 17, 4, Yol, 0 )
( 17, 5, Engel, -5 )
( 17, 6, Yol, 0 )
( 17, 7, Yol, 0 )
( 17, 8, Yol, 0 )
( 17, 9, Yol, 0 )
( 17, 10, Yol, 0 )
( 17, 11, Yol, 0 )
( 17, 12, Yol, 0 )
( 17, 13, Yol, 0 )
( 17, 14, Yol, 0 )
( 17, 15, Yol, 0 )
( 17, 16, Engel, -5 )
( 17, 17, Yol, 0 )
( 17, 18, Yol, 0 )
( 17, 19, Yol, 0 )
( 17, 20, Engel, -5 )
( 17, 21, Yol, 0 )
